TCRD ID	TDL	Description	Ligand ID	Drug ID
388	Tchem	5'-AMP-activated protein kinase subunit beta-2	7256	
389	Tchem	5'-AMP-activated protein kinase subunit gamma-3	17085	
379	Tchem	5'-nucleotidase	12739	
8702	Tchem	5'(3')-deoxyribonucleotidase, mitochondrial	14421	
6468	Tchem	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	17251	
6353	Tchem	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	14275	
6216	Tchem	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	14278	
58	Tchem	6-phosphogluconate dehydrogenase, decarboxylating	40	
5742	Tchem	7-dehydrocholesterol reductase	15312	
95	Tchem	7,8-dihydro-8-oxoguanine triphosphatase	8892	
11388	Tchem	72 kDa type IV collagenase	13451	
3926	Tchem	78 kDa glucose-regulated protein	9326	
12849	Tchem	85/88 kDa calcium-independent phospholipase A2	19699	
1591	Tchem	A disintegrin and metalloproteinase with thrombospondin motifs 1	3156	
1533	Tchem	A disintegrin and metalloproteinase with thrombospondin motifs 4	8695	
1534	Tchem	A disintegrin and metalloproteinase with thrombospondin motifs 5	5162	
336	Tchem	Abelson tyrosine-protein kinase 2	3627	
121	Tchem	Acetyl-CoA carboxylase 1	18946	
158	Tchem	Acetyl-CoA carboxylase 2	14220	
184	Tchem	Acetyl-coenzyme A transporter 1	12677	
1401	Tchem	Acid ceramidase	2483	
1204	Tchem	Acid-sensing ion channel 1	17529	
1405	Tchem	Acid-sensing ion channel 3	3235	
4527	Tchem	Acidic mammalian chitinase	7910	
188	Tchem	Acrosin	10569	
1162	Tchem	Actin-related protein 2	5953	
130	Tchem	Activated CDC42 kinase 1	10607	
715	Tchem	Activator of 90 kDa heat shock protein ATPase homolog 1	19454	
564	Tchem	Activin receptor type-1	15468	
633	Tchem	Activin receptor type-1B	11623	
1294	Tchem	Activin receptor type-2A	1912	
1566	Tchem	Activin receptor type-2B	89	
36	Tchem	Acyl-CoA desaturase	14217	
1620	Tchem	Acyl-CoA wax alcohol acyltransferase 2	4161	
538	Tchem	Acyl-coenzyme A thioesterase 1	3290	
232	Tchem	Acyl-coenzyme A thioesterase 2, mitochondrial	9704	
10725	Tchem	Acyl-protein thioesterase 1	11030	
10777	Tchem	Acyl-protein thioesterase 2	18865	
540	Tchem	Acylamino-acid-releasing enzyme	9888	
5293	Tchem	Adapter molecule crk	11276	11276
737	Tchem	Adenosine deaminase-like protein	3033	
275	Tchem	Adenosine kinase	14420	
384	Tchem	Adenosine receptor A3	6529	
15353	Tchem	Adenosylhomocysteinase	11567	
15783	Tchem	Adenosylhomocysteinase 2	7878	
622	Tchem	Adenylate cyclase type 1	8382	
625	Tchem	Adenylate cyclase type 10	1256	
198	Tchem	Adenylate cyclase type 2	9774	
404	Tchem	Adenylate cyclase type 4	9894	
200	Tchem	Adenylate cyclase type 5	18526	
271	Tchem	Adenylate cyclase type 6	4985	
623	Tchem	Adenylate cyclase type 8	770	
9866	Tchem	Adenylate kinase 4, mitochondrial	3003	
9657	Tchem	Adenylate kinase isoenzyme 1	8284	
13753	Tchem	Adenylosuccinate synthetase isozyme 2	17899	
750	Tchem	Adhesion G protein-coupled receptor G3	560	560
565	Tchem	ADM	8875	8875
1080	Tchem	ADP-ribosylation factor 1	10104	
1081	Tchem	ADP-ribosylation factor 5	10077	
1107	Tchem	ADP-ribosylation factor 6	7528	
13914	Tchem	Advanced glycosylation end product-specific receptor	12244	
454	Tchem	Alcohol dehydrogenase [NADP(+)]	7075	
627	Tchem	Alcohol dehydrogenase 6	1836	
628	Tchem	Alcohol dehydrogenase class 4 mu/sigma chain	5089	
694	Tchem	Alcohol dehydrogenase class-3	10963	
796	Tchem	Aldehyde dehydrogenase family 3 member B2	9660	
795	Tchem	Aldehyde dehydrogenase, dimeric NADP-preferring	403	
455	Tchem	Aldo-keto reductase family 1 member B10	15516	
456	Tchem	Aldo-keto reductase family 1 member C1	14390	
413	Tchem	Aldo-keto reductase family 1 member C2	6982	
457	Tchem	Aldo-keto reductase family 1 member C3	17683	
76	Tchem	Alkaline ceramidase 2	12823	
13403	Tchem	Alkaline phosphatase, placental-like	13759	
13404	Tchem	Alkaline phosphatase, tissue-nonspecific isozyme	19303	
3598	Tchem	Alpha-(1,3)-fucosyltransferase 6	9107	
3695	Tchem	Alpha-(1,3)-fucosyltransferase 7	805	
383	Tchem	Alpha-1-acid glycoprotein 2	14049	
387	Tchem	Alpha-1-antichymotrypsin	3953	
8458	Tchem	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	7132	
11106	Tchem	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	6984	
8576	Tchem	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A	7665	
913	Tchem	Alpha-amylase 1	4860	
3269	Tchem	Alpha-enolase	17291	
512	Tchem	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	989	
16743	Tchem	Alpha-synuclein	8351	
902	Tchem	Amiloride-sensitive amine oxidase [copper-containing]	19011	
803	Tchem	Aminopeptidase B	10285	
991	Tchem	Aminopeptidase N	2818	
992	Tchem	Aminopeptidase O	19222	
849	Tchem	AMP deaminase 1	9874	
887	Tchem	AMP deaminase 2	3448	
804	Tchem	AMP deaminase 3	3445	
778	Tchem	Amphiregulin	5419	
60	Tchem	Amyloid beta A4 protein	15284	
886	Tchem	Angiomotin	14433	
1146	Tchem	Angiopoietin-1	14846	
812	Tchem	Angiopoietin-2	6796	6796
33	Tchem	Angiotensin-converting enzyme 2	3826	
525	Tchem	Angiotensinogen	3950	
2800	Tchem	Antigen-presenting glycoprotein CD1d	7165	
296	Tchem	AP2-associated protein kinase 1	16162	
978	Tchem	Apelin	5230	
1068	Tchem	Apelin receptor	11176	
1127	Tchem	Apolipoprotein A-I	7821	
911	Tchem	Apolipoprotein B-100	16891	
1474	Tchem	Apoptosis regulator BAX	11000	
7230	Tchem	Appetite-regulating hormone	15069	
984	Tchem	Aquaporin-4	15703	
10287	Tchem	Arachidonate 12-lipoxygenase, 12S-type	16130	
10395	Tchem	Arachidonate 15-lipoxygenase	17750	
10774	Tchem	Arachidonate 15-lipoxygenase B	9320	
560	Tchem	Arachidonate 5-lipoxygenase-activating protein	12715	
1234	Tchem	Arginase-1	15483	
1026	Tchem	Arginase-2, mitochondrial	2490	
16718	Tchem	Arginine--tRNA ligase, cytoplasmic	19164	
579	Tchem	Aryl hydrocarbon receptor	13263	
1180	Tchem	Arylamine N-acetyltransferase 1	14728	
1201	Tchem	Arylamine N-acetyltransferase 2	8316	
1184	Tchem	Asialoglycoprotein receptor 1	12486	
1167	Tchem	Asparagine synthetase [glutamine-hydrolyzing]	13438	
5782	Tchem	Aspartyl aminopeptidase	794	
1442	Tchem	ATP synthase subunit alpha, mitochondrial	9843	
68	Tchem	ATP-binding cassette sub-family B member 6, mitochondrial	14038	
70	Tchem	ATP-binding cassette sub-family C member 11	14586	
30	Tchem	ATP-binding cassette sub-family G member 2	4426	
728	Tchem	ATP-citrate synthase	3642	
5568	Tchem	ATP-dependent RNA helicase DDX1	10971	
5619	Tchem	ATP-dependent RNA helicase DDX3X	15662	
9882	Tchem	ATP-sensitive inward rectifier potassium channel 1	7395	
9594	Tchem	ATP-sensitive inward rectifier potassium channel 10	2641	
1226	Tchem	ATPase family AAA domain-containing protein 2	3322	
1333	Tchem	ATPase family AAA domain-containing protein 2B	546	
1436	Tchem	ATPase family AAA domain-containing protein 5	1793	
471	Tchem	Atrial natriuretic peptide receptor 2	14505	
821	Tchem	Atrial natriuretic peptide receptor 3	19663	
34	Tchem	Atypical chemokine receptor 3	4417	
4976	Tchem	Atypical kinase COQ8B, mitochondrial	13287	
1391	Tchem	Aurora kinase A	12023	
459	Tchem	Aurora kinase A-interacting protein	1477	
1618	Tchem	Aurora kinase B	15556	
1446	Tchem	Aurora kinase C	7440	
1449	Tchem	Axin-2	2935	
2442	Tchem	B-cell receptor CD22	12709	
1901	Tchem	B1 bradykinin receptor	13737	
1899	Tchem	Baculoviral IAP repeat-containing protein 2	3362	
1649	Tchem	Baculoviral IAP repeat-containing protein 3	3345	
1925	Tchem	Baculoviral IAP repeat-containing protein 5	10006	
1650	Tchem	Baculoviral IAP repeat-containing protein 8	2054	
1623	Tchem	Basigin	10556	
1520	Tchem	Bcl-2 homologous antagonist/killer	16193	
1488	Tchem	Bcl-2-like protein 1	10989	
1489	Tchem	Bcl-2-like protein 10	2517	
1507	Tchem	Bcl-2-like protein 2	12442	
1509	Tchem	Bcl-2-related protein A1	16651	
1790	Tchem	Bcl2-associated agonist of cell death	12062	
12444	Tchem	BDNF/NT-3 growth factors receptor	16230	
7135	Tchem	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	3505	
1542	Tchem	Beta-1,3-galactosyltransferase 1	139	
8571	Tchem	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	7667	
1104	Tchem	Beta-adrenergic receptor kinase 1	3867	
1131	Tchem	Beta-adrenergic receptor kinase 2	10384	
1258	Tchem	Beta-arrestin-1	6050	
2005	Tchem	Beta-galactosidase	18034	
14381	Tchem	Beta-galactoside alpha-2,6-sialyltransferase 1	7771	
1792	Tchem	Beta-glucuronidase	13478	
4094	Tchem	Beta-hexosaminidase subunit alpha	18198	
7370	Tchem	Beta-hexosaminidase subunit beta	14078	
11167	Tchem	Beta-mannosidase	12487	
12079	Tchem	Beta-nerve growth factor	4364	
1301	Tchem	Beta-secretase 1	18734	
1495	Tchem	Beta-secretase 2	131	
2009	Tchem	Betaine--homocysteine S-methyltransferase 1	9696	
7780	Tchem	Bifunctional epoxide hydrolase 2	12511	
16481	Tchem	Bifunctional glutamate/proline--tRNA ligase	19039	
11588	Tchem	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	8787	
13771	Tchem	Bifunctional purine biosynthesis protein PURH	2190	
177	Tchem	Bile salt export pump	18775	
16594	Tchem	Bile salt sulfotransferase	10932	
2831	Tchem	Bile salt-activated lipase	18784	
1749	Tchem	Biotin--protein ligase	9764	
6931	Tchem	Bis(5'-adenosyl)-triphosphatase	9807	
14700	Tchem	Blood group Rh(D) polypeptide	15300	
1971	Tchem	Bloom syndrome protein	19166	
1636	Tchem	BMP-2-inducible protein kinase	16899	
1933	Tchem	Bombesin receptor subtype-3	12735	
1654	Tchem	Bone morphogenetic protein 1	6121	
1905	Tchem	Bone morphogenetic protein 4	8815	
1607	Tchem	Bone morphogenetic protein receptor type-1A	11625	
1802	Tchem	Bone morphogenetic protein receptor type-1B	13566	
1655	Tchem	Bone morphogenetic protein receptor type-2	5737	
1504	Tchem	Branched-chain-amino-acid aminotransferase, cytosolic	3776	
1479	Tchem	Branched-chain-amino-acid aminotransferase, mitochondrial	9986	
1685	Tchem	Breast cancer type 1 susceptibility protein	3905	
1501	Tchem	Bromodomain adjacent to zinc finger domain protein 2A	2237	
1554	Tchem	Bromodomain adjacent to zinc finger domain protein 2B	2239	
1932	Tchem	Bromodomain and PHD finger-containing protein 3	639	
1812	Tchem	Bromodomain and WD repeat-containing protein 3	12307	
1647	Tchem	Bromodomain testis-specific protein	14804	
1686	Tchem	Bromodomain-containing protein 1	17940	
1646	Tchem	Bromodomain-containing protein 2	6067	
1687	Tchem	Bromodomain-containing protein 3	12049	
1878	Tchem	Bromodomain-containing protein 4	17053	
1688	Tchem	Bromodomain-containing protein 7	19777	
1689	Tchem	Bromodomain-containing protein 9	11923	
2306	Tchem	C-C chemokine receptor type 1	12729	
2885	Tchem	C-C chemokine receptor type 10	8477	
2527	Tchem	C-C chemokine receptor type 2	1686	
2886	Tchem	C-C chemokine receptor type 3	7507	
2261	Tchem	C-C chemokine receptor type 6	7519	
2358	Tchem	C-C chemokine receptor type 7	12733	
2888	Tchem	C-C chemokine receptor type 8	7518	
2680	Tchem	C-C chemokine receptor type 9	7524	
2681	Tchem	C-C chemokine receptor-like 2	12598	
2794	Tchem	C-C motif chemokine 2	6687	
2462	Tchem	C-C motif chemokine 5	6686	
2608	Tchem	C-C motif chemokine 7	15584	
5186	Tchem	C-terminal-binding protein 2	14465	
4470	Tchem	C-type lectin domain family 6 member A	19191	
4868	Tchem	C-type lectin domain family 7 member A	4634	
5357	Tchem	C-X-C chemokine receptor type 1	3982	
3170	Tchem	C-X-C chemokine receptor type 2	3847	
5358	Tchem	C-X-C chemokine receptor type 3	9206	
3112	Tchem	C-X-C chemokine receptor type 5	16008	
3174	Tchem	C-X-C motif chemokine 10	6256	
3168	Tchem	C-X-C motif chemokine 2	18880	
1702	Tchem	C3a anaphylatoxin chemotactic receptor	16720	
1706	Tchem	C5a anaphylatoxin chemotactic receptor 1	15593	
6626	Tchem	CAAX prenyl protease 1 homolog	13956	
6627	Tchem	CAAX prenyl protease 2	17169	
13728	Tchem	CAD protein	4500	
2141	Tchem	Calcitonin gene-related peptide 1	17970	
1774	Tchem	Calcitonin gene-related peptide 2	8593	8593
1965	Tchem	Calcitonin gene-related peptide type 1 receptor	16158	
5022	Tchem	Calcium release-activated calcium channel protein 1	13313	
4387	Tchem	Calcium-activated chloride channel regulator 1	14222	
4869	Tchem	Calcium-activated chloride channel regulator 2	7464	
4493	Tchem	Calcium-activated chloride channel regulator 4	10015	
4492	Tchem	Calcium-activated chloride channel regulator family member 3	677	
9597	Tchem	Calcium-activated potassium channel subunit beta-1	16665	
8812	Tchem	Calcium-dependent phospholipase A2	7124	
10203	Tchem	Calcium/calmodulin-dependent protein kinase kinase 1	19031	
10204	Tchem	Calcium/calmodulin-dependent protein kinase kinase 2	5422	
9780	Tchem	Calcium/calmodulin-dependent protein kinase type 1	15907	
9665	Tchem	Calcium/calmodulin-dependent protein kinase type 1D	7847	
9902	Tchem	Calcium/calmodulin-dependent protein kinase type 1G	2980	
9591	Tchem	Calcium/calmodulin-dependent protein kinase type II subunit alpha	7837	
9592	Tchem	Calcium/calmodulin-dependent protein kinase type II subunit beta	2630	
9870	Tchem	Calcium/calmodulin-dependent protein kinase type II subunit delta	2639	
9713	Tchem	Calcium/calmodulin-dependent protein kinase type II subunit gamma	2628	
1997	Tchem	Calpain-1 catalytic subunit	16229	
1681	Tchem	Calpain-2 catalytic subunit	1900	
8178	Tchem	cAMP-dependent protein kinase catalytic subunit alpha	2273	
9636	Tchem	cAMP-dependent protein kinase catalytic subunit beta	13739	
13683	Tchem	cAMP-dependent protein kinase catalytic subunit PRKX	6730	
4893	Tchem	Cannabinoid receptor 2	16203	
4249	Tchem	Carbohydrate sulfotransferase 4	7213	
2381	Tchem	Carbonyl reductase [NADPH] 1	17104	
2230	Tchem	Carbonyl reductase [NADPH] 3	13508	
2264	Tchem	Carboxypeptidase A1	3674	
2267	Tchem	Carboxypeptidase B	3671	
2069	Tchem	Carboxypeptidase B2	14329	
2655	Tchem	Carboxypeptidase M	3841	
2380	Tchem	Carboxypeptidase N catalytic chain	2922	
4816	Tchem	Carnitine O-palmitoyltransferase 1, liver isoform	6025	
4990	Tchem	Carnitine O-palmitoyltransferase 1, muscle isoform	10193	
4817	Tchem	Carnitine O-palmitoyltransferase 2, mitochondrial	10800	
9752	Tchem	Casein kinase I isoform alpha	11178	
9712	Tchem	Casein kinase I isoform delta	11321	
9514	Tchem	Casein kinase I isoform epsilon	9226	
9589	Tchem	Casein kinase I isoform gamma-2	17579	
5305	Tchem	Casein kinase II subunit alpha	16806	
5091	Tchem	Casein kinase II subunit alpha'	14750	
5092	Tchem	Casein kinase II subunit beta	2760	
4640	Tchem	CASP8 and FADD-like apoptosis regulator	8450	
2369	Tchem	Caspase-1	17075	
2927	Tchem	Caspase-10	12425	
2925	Tchem	Caspase-2	2554	
2926	Tchem	Caspase-3	2552	
2219	Tchem	Caspase-4	9089	
1783	Tchem	Caspase-5	6532	
2220	Tchem	Caspase-6	14467	
2333	Tchem	Caspase-7	14469	
2221	Tchem	Caspase-8	3768	
2206	Tchem	Caspase-9	14468	
4416	Tchem	Cat eye syndrome critical region protein 2	4324	
2853	Tchem	Catalase	19575	
5159	Tchem	Catenin beta-1	8130	
2854	Tchem	Cathepsin B	18766	
2370	Tchem	Cathepsin D	16078	
2334	Tchem	Cathepsin E	1044	
2335	Tchem	Cathepsin F	14207	
2855	Tchem	Cathepsin G	13931	
2336	Tchem	Cathepsin K	14511	
2211	Tchem	Cathepsin L1	14938	
1785	Tchem	Cathepsin L2	18254	
2213	Tchem	Cathepsin S	9901	
2214	Tchem	Cathepsin Z	15204	
5245	Tchem	Cation channel sperm-associated protein 1	6337	6337
5124	Tchem	Cation channel sperm-associated protein 2	1904	1904
3087	Tchem	Cation channel sperm-associated protein 3	823	823
5194	Tchem	Cation channel sperm-associated protein 4	7849	7849
11597	Tchem	Cation-independent mannose-6-phosphate receptor	10939	
2736	Tchem	Caveolin-1	12321	
4951	Tchem	CCR4-NOT transcription complex subunit 6	5521	
4952	Tchem	CCR4-NOT transcription complex subunit 7	2678	
2616	Tchem	CD40 ligand	1280	
2531	Tchem	CD81 antigen	9073	
4365	Tchem	CDGSH iron-sulfur domain-containing protein 1	5698	
14422	Tchem	Cell cycle checkpoint protein RAD1	18795	
2812	Tchem	Cell division control protein 42 homolog	13828	
2623	Tchem	Cell division control protein 6 homolog	2126	
2454	Tchem	Cell division cycle 7-related protein kinase	11973	
9342	Tchem	Cellular tumor antigen p53	1123	
2833	Tchem	Centromere-associated protein E	14596	
10201	Tchem	cGMP-dependent protein kinase 1	4748	
10096	Tchem	cGMP-dependent protein kinase 2	18271	
4578	Tchem	cGMP-gated cation channel alpha-1	1257	1257
4506	Tchem	Chemokine-like receptor 1	2242	
4529	Tchem	Chitotriosidase-1	18661	
2841	Tchem	Cholesteryl ester transfer protein	11665	
2785	Tchem	Choline kinase alpha	10881	
4384	Tchem	Choline O-acetyltransferase	1850	
19062	Tchem	Chromaffin granule amine transporter	19974	19974
2864	Tchem	Chromobox protein homolog 2	3752	
2386	Tchem	Chromobox protein homolog 6	17728	
2233	Tchem	Chromobox protein homolog 7	632	
2658	Tchem	Chromobox protein homolog 8	3723	
10042	Tchem	Chromosome-associated kinesin KIF4A	14727	
4883	Tchem	Chymase	13854	
5351	Tchem	Chymotrypsin-C	1358	
2898	Tchem	Chymotrypsin-like elastase family member 1	5066	
5193	Tchem	Chymotrypsin-like protease CTRL-1	944	
3086	Tchem	Chymotrypsinogen B	17982	
5317	Tchem	Citron Rho-interacting kinase	10157	
4556	Tchem	Claudin-18	20085	
14377	Tchem	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1	5284	
6423	Tchem	Coagulation factor IX	11392	
6418	Tchem	Coagulation factor VII	15551	
6611	Tchem	Coagulation factor XI	7753	
6506	Tchem	Coagulation factor XII	11388	
6660	Tchem	Coagulation factor XIII A chain	9921	
6228	Tchem	Cocaine esterase	14182	
4747	Tchem	Collagen alpha-1(III) chain	4373	
4900	Tchem	Collagen alpha-1(IV) chain	4372	
4845	Tchem	Collagen alpha-1(XV) chain	3573	
4761	Tchem	Collagen alpha-1(XXVII) chain	9336	
5047	Tchem	Collagen alpha-1(XXVIII) chain	4224	
4352	Tchem	Collagen alpha-2(I) chain	10970	
4402	Tchem	Collagen alpha-2(V) chain	1336	
4299	Tchem	Collagen alpha-2(XI) chain	8938	
4957	Tchem	Collagen alpha-4(IV) chain	2837	2837
4902	Tchem	Collagen alpha-5(VI) chain	12796	
4962	Tchem	Collagen alpha-6(VI) chain	14756	
8565	Tchem	Collagenase 3	12169	
2046	Tchem	Complement C1s subcomponent	12859	
2775	Tchem	Complement factor D	11389	
2989	Tchem	Connective tissue growth factor	20073	
2984	Tchem	COP9 signalosome complex subunit 7b	16539	
12670	Tchem	Core-binding factor subunit beta	4704	
5846	Tchem	Corticosteroid 11-beta-dehydrogenase isozyme 2	15056	
2153	Tchem	Corticosteroid-binding globulin	10863	
4967	Tchem	COUP transcription factor 2	9733	
2345	Tchem	CREB-binding protein	13392	
3012	Tchem	Cullin-4A	1063	
5277	Tchem	CX3C chemokine receptor 1	6942	
1357	Tchem	Cyclic AMP-dependent transcription factor ATF-1	18220	
2357	Tchem	Cyclin-A1	17425	
2428	Tchem	Cyclin-A2	12900	
2429	Tchem	Cyclin-C	11604	
2538	Tchem	Cyclin-dependent kinase 1	19362	
2685	Tchem	Cyclin-dependent kinase 11A	7591	
2361	Tchem	Cyclin-dependent kinase 11B	10803	
2324	Tchem	Cyclin-dependent kinase 13	15883	
2698	Tchem	Cyclin-dependent kinase 14	5583	
2411	Tchem	Cyclin-dependent kinase 15	1342	
2699	Tchem	Cyclin-dependent kinase 16	5396	
2813	Tchem	Cyclin-dependent kinase 17	5404	
2412	Tchem	Cyclin-dependent kinase 18	6119	
2537	Tchem	Cyclin-dependent kinase 19	5058	
2539	Tchem	Cyclin-dependent kinase 2	10612	
2814	Tchem	Cyclin-dependent kinase 3	5432	
2529	Tchem	Cyclin-dependent kinase 5 activator 1	12092	
2627	Tchem	Cyclin-dependent kinase 7	9164	
2700	Tchem	Cyclin-dependent kinase 8	7661	
2889	Tchem	Cyclin-dependent kinase 9	9777	
2541	Tchem	Cyclin-dependent kinase-like 1	5392	
2475	Tchem	Cyclin-dependent kinase-like 2	13016	
2817	Tchem	Cyclin-dependent kinase-like 3	6700	
2476	Tchem	Cyclin-dependent kinase-like 5	6596	
2473	Tchem	Cyclin-dependent-like kinase 5	5398	
3760	Tchem	Cyclin-G-associated kinase	12057	
2404	Tchem	Cyclin-T1	14617	
1287	Tchem	Cysteine protease ATG4B	1284	
4831	Tchem	Cysteinyl leukotriene receptor 2	18074	
19198	Tchem	Cystine/glutamate transporter	7613	
2625	Tchem	Cytidine deaminase	16168	
5284	Tchem	Cytochrome b-245 heavy chain	5641	
14404	Tchem	Cytochrome b-c1 complex subunit 9	19817	
3001	Tchem	Cytochrome b5	6065	
4858	Tchem	Cytochrome c oxidase subunit 1	9086	
4979	Tchem	Cytochrome c oxidase subunit 2	10083	
1842	Tchem	Cytochrome P450 11B2, mitochondrial	13788	
5051	Tchem	Cytochrome P450 1A1	4881	
5205	Tchem	Cytochrome P450 1A2	19289	
5206	Tchem	Cytochrome P450 1B1	15920	
5052	Tchem	Cytochrome P450 26B1	18666	
5108	Tchem	Cytochrome P450 2A6	11739	
4982	Tchem	Cytochrome P450 2B6	18750	18750
5053	Tchem	Cytochrome P450 2C18	13322	
4806	Tchem	Cytochrome P450 2C19	13324	
4938	Tchem	Cytochrome P450 2C9	10943	
5055	Tchem	Cytochrome P450 2J2	6902	
4808	Tchem	Cytochrome P450 2W1	11965	
4812	Tchem	Cytochrome P450 4F12	2778	
4941	Tchem	Cytochrome P450 4X1	16400	
1741	Tchem	Cytoplasmic tyrosine-protein kinase BMX	6724	
435	Tchem	Cytosol aminopeptidase	5335	
3293	Tchem	Cytosolic endo-beta-N-acetylglucosaminidase	9830	
9208	Tchem	Cytosolic phospholipase A2	10980	
9209	Tchem	Cytosolic phospholipase A2 beta	16426	
8811	Tchem	Cytosolic phospholipase A2 gamma	3937	
57	Tchem	Cytosolic purine 5'-nucleotidase	8828	
9297	Tchem	D-amino-acid oxidase	9478	
9395	Tchem	D-aspartate oxidase	17904	
5907	Tchem	D(1B) dopamine receptor	14035	
5793	Tchem	D(4) dopamine receptor	14037	
5472	Tchem	dCTP pyrophosphatase 1	13410	
5581	Tchem	Death-associated protein kinase 1	3778	
5606	Tchem	Death-associated protein kinase 2	2142	
3199	Tchem	Death-associated protein kinase 3	4811	
3189	Tchem	Deoxycytidine kinase	4503	
5363	Tchem	Deoxycytidylate deaminase	16164	
5971	Tchem	Deoxyribonuclease-1	11572	
5754	Tchem	Deoxyribonuclease-2-alpha	13038	
5933	Tchem	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	13933	
5665	Tchem	Diacylglycerol O-acyltransferase 2	2663	
14315	Tchem	Diamine acetyltransferase 2	12344	
5418	Tchem	Dickkopf-related protein 1	5552	
5379	Tchem	Dihydropteridine reductase	10907	
5660	Tchem	Dihydropyrimidinase	15090	
3895	Tchem	Dihydroxyacetone phosphate acyltransferase	9541	
6991	Tchem	Dimethylaniline monooxygenase [N-oxide-forming] 1	303	
6893	Tchem	Dimethylaniline monooxygenase [N-oxide-forming] 4	18860	
2928	Tchem	Dipeptidyl peptidase 1	1102	
5905	Tchem	Dipeptidyl peptidase 2	2971	
6051	Tchem	Dipeptidyl peptidase 3	684	
